연월,공급업체명,공급업체유형,계약내역,계약유형
2023-11,(주)원프랜트,중소기업,"발전설비공사(2운영,원프랜트)10월노무비직불",공사
2023-06,(주)핸디소프트,중소기업,전자결재 및 기록관리시스템 구축 용역,용역
2023-07,보령해운개발(주),중소기업,매립석탄재 운반 및 재활용 6월 기성고 지급,용역
2023-07,(주)명진티에스알,중소기업,2023년도 석탄취급 및 탈황설비용 컨베이어벨트 연가 단가구매(단)(명진),구매
2023-02,터보파워텍(주),중소기업,22-현장-26호 1차 협약금지급(터보파워텍),구매
2023-10,(주)인코어드테크놀로지스,중소기업,재생에너지 출력제어 및 예측·입찰 시스템 고도화,용역
2023-04,케이엘이에스,중소기업,22-현장-10호 1차 협약금지급(KLES),구매
2023-05,한국바이브로(주),중소기업,2023년 복합1호기 계획예방정비 진동감시설비 자재구매,구매
2023-04,토틀테크,중소기업,신보령 저회처리설비 정비용 자재 구매,구매
2023-06,유호전기공업(주),중소기업,세종발전본부 급전자동화 원격소 설비(EMS-RTU) 구매,구매
2023-12,동일건설(주),중소기업,2023년도 발전소 건축 영선공사,공사
2023-10,(사)장애인인권센터 ICT 사업단,중소기업,강당 멀티미디어 설비 개선,구매
2023-09,엔에스시스템(주),중소기업,2023년도 신보령 제1호기 계획예방정비공사(보일러),공사
2023-07,(주)금강전력,중소기업,"보령발전본부 복합 가설건축물 신축 전기공사,22-(공)친-03",공사
2023-02,보령해운개발(주),중소기업,매립석탄재 운반 및 재활용 1월 기성고 지급,용역
2023-11,(주)명진티에스알,중소기업,23P-기술3(단)(명진TSR),구매
2023-05,(주)한국에프에이,중소기업,지체상금 지급,구매
2023-09,주식회사 한빛산업,중소기업,기성고 지불 요청,공사
2023-09,(주)선우종합건설,중소기업,2023년도 발전소 토목 영선공사,공사
2023-03,하이젠알앤엠주식회사,중소기업,3호기 IDF 고압전동기 예비품 제작구매,구매
2023-11,보성엔지니어링,중소기업,내연 2호기 OH공사 메인엔진 정비용 자재 구매,구매
2023-06,(주)광명전기,중소기업,"제1,2부두 연속식하역기 전력기기 구매(변압기반외 3종, 현장설치도)/C23P-기술48-00",구매
